episode,total_reward,epsilon
1,-512.1486279606814,2.940478083836928
2,-207.84242093563083,2.802399248981589
3,-198.89761356115343,2.7031120823208785
4,-124.25480633974075,2.5761794692666005
5,-71.76965942382813,2.494886667642785
6,-170.35877795219423,2.377731894050757
7,-142.2842571735382,2.311949014067709
8,-184.40395288467408,2.2300381774321996
9,-158.03988661766056,2.1168188664952203
10,-137.8871554374695,2.025519461196127
11,-162.41617500782013,1.977390533898755
12,-54.18401139974594,1.9149928561271814
13,-201.47795567512514,1.83975733205087
14,-76.70816360712051,1.7745759368913543
15,-216.44966415166857,1.6912454815224955
16,-133.92117232084277,1.6118280538509167
17,-166.32678015232088,1.5423091426723554
18,-110.07174463272096,1.481715477131843
19,-40.371504878997804,1.423502392891182
20,-217.96229429244997,1.3785829689857998
21,-109.1949836730957,1.3458260783417912
22,-29.75830240249634,1.308592143089828
23,-129.51451053619385,1.2521519410800177
24,-157.08287248611452,1.1981460318479302
25,-88.01715722084046,1.1510737180595987
26,-88.38305507898332,1.1058507637537418
27,-122.55968061685564,1.062404511985753
28,-44.468190014362335,1.0206651603299277
29,-133.11379492282867,0.980565648732191
30,-68.25251965522766,0.9420415517688259
31,-174.0212815284729,0.905030975138099
32,-129.59135206937793,0.869474456218486
33,-89.7571306705475,0.8353148685337267
34,-85.89176063537597,0.8024973299712245
35,-182.46673827171327,0.7709691146063229
36,-120.56808576583862,0.7406795679908005
37,-156.2343192100525,0.7115800257694779
38,-207.36937527656556,0.683623735494186
39,-182.0685047388077,0.6567657815094767
40,-66.39383399486542,0.6309630127893974
41,-92.09014551639558,0.606173973609386
42,-184.37235827445986,0.582358836941903
43,-213.0343148827553,0.5594793404687918
44,-164.78221772909166,0.5374987251075599
45,-209.95765681266786,0.5163816759528183
46,-120.34265990257265,0.496094265537991
47,-48.721145033836365,0.4766038993261366
48,-101.82596735954286,0.4578792633423071
49,-167.3791833639145,0.43989027386330615
50,-64.21982944011688,0.42260802908401807
51,-67.81683802604675,0.40600476268265157
52,-191.10781927108766,0.3900537992102953
53,-202.44840512275698,0.3747295112331114
54,-153.22263007164003,0.36000727815831035
55,-168.6205400466919,0.34725245650377184
56,-244.59925088882449,0.33360973169242
57,-120.14903516769411,0.32050299715786046
58,-113.2538768053055,0.3079111951142925
59,-103.25701556801796,0.2958140950863388
60,-136.92508127689365,0.2841922614059825
61,-103.32942731380462,0.27302702198647255
62,-76.89108815193177,0.262300438323028
63,-162.67934648990632,0.2519952766721437
64,-88.79740420412271,0.24209498036319252
65,-79.0776871085167,0.23258364319783892
66,-126.21900954246522,0.22344598389452658
67,-57.82844305038452,0.21466732153698134
68,-66.2512316942215,0.2062335519872843
69,-162.52620539665224,0.1981311252256191
70,-72.27724792957306,0.19034702358028704
71,-72.01623380184174,0.18286874081301294
72,-171.22837202548982,0.17638982131118464
73,-31.532118749618533,0.17014044567631
74,-43.00662503242493,0.16345603139451373
75,-32.74755868911743,0.15703423188437315
76,-69.94947434067726,0.15086472963482678
77,-60.79863606393337,0.14493761248533418
78,-34.60569977760315,0.139243357700616
79,-62.06904399394989,0.1337728166710596
80,-41.37187123298645,0.12851720021420995
81,-34.517296648025514,0.12346806445372953
82,-55.368514919281004,0.11861729725314045
83,-120.23959336280824,0.11395710518255292
84,-127.78072175979615,0.1094800009974398
85,-98.36286239624023,0.1056011963949201
86,-74.91802736934623,0.10145237603330008
87,-91.00329591035843,0.0974665529764513
88,-43.239705336093905,0.09363732344714391
89,-91.02366576194764,0.08995853525735596
90,-117.33341956138612,0.08642427792393068
91,-30.386628222465518,0.08302887317256596
92,-90.15173416137695,0.07976686581487966
93,-40.22121340425074,0.07663301498389319
94,-54.49174282550811,0.07362228571385242
95,-46.59371745586395,0.07072984085085716
96,-23.20393515825272,0.06795103328130302
97,-29.841981124877933,0.06528139846564905
98,-3.1463398799300197,0.06296852135092008
99,-27.022358369827273,0.060494637603004796
100,-47.33450158834457,0.058117946875775095
101,-31.76189309060574,0.05583463068613612
102,-7.000473836064339,0.05385644635555289
103,-23.557830196619037,0.051740554406669984
104,-35.736225080490115,0.04970779083038321
105,-90.79535761624574,0.047754889710238675
106,-35.88761365413666,0.04587871343988833
107,-71.02226318381726,0.04407624768209038
108,-26.62024150490761,0.04234459652575879
109,-14.2708251953125,0.04068097783328057
110,-45.459822139143945,0.039082718770626176
111,-13.06940776258707,0.03754725151307111
112,-31.055050564451086,0.03607210911962953
113,-25.706219625473025,0.034654921569571645
114,-72.59986980743706,0.03329341195465691
115,-20.081837692856787,0.03211384821382056
116,-25.741417228452338,0.03085217133980853
117,-23.233910369873048,0.02964006275558283
118,-29.123742556571962,0.028475575040688223
