episode,total_reward,epsilon
256,64.1407754421,0.0099636662
257,95.8192926645,0.0099636662
258,90,0.0099636662
259,34.5106451511,0.0099636662
260,25.0818045139,0.0099636662
261,27.333258152,0.0099636662
262,37.7946724892,0.0099636662
263,55.4444086552,0.0099636662
264,33.3547911644,0.0099636662
265,25.2500352859,0.0099636662
266,17.6517062187,0.0099636662
267,24.7100868225,0.0099636662
268,80,0.0099636662
269,36.3391030431,0.0099636662
270,85.6372311115,0.0099636662
271,100,0.0099636662
272,58.8492715359,0.0099636662
273,100,0.0099636662
274,27.3766634464,0.0099636662
275,39.2353073359,0.0099636662
276,50.7488133907,0.0099636662
277,-3.2189698219,0.0099636662
278,35.6330119371,0.0099636662
279,80,0.0099636662
280,50.7581970692,0.0099636662
281,35.5140234232,0.0099636662
282,55.2244923115,0.0099636662
283,-15.9837620258,0.0099636662
284,-7.7456864119,0.0099636662
285,-5.6039607525,0.0099636662
286,26.1028059721,0.0099636662
287,38.3431575298,0.0099636662
288,37.9897930622,0.0099636662
289,80,0.0099636662
290,25.4335399866,0.0099636662
291,25.5324745178,0.0099636662
292,54.0372407436,0.0099636662
293,-27.0038479567,0.0099636662
294,80,0.0099636662
295,50.8152275085,0.0099636662
296,39.6665967703,0.0099636662
297,80,0.0099636662
298,80,0.0099636662
299,27.3916583061,0.0099636662
300,38.3446111679,0.0099636662
301,9.0568685532,0.0099636662
302,26.0360202789,0.0099636662
303,-18.7741010189,0.0099636662
304,80,0.0099636662
305,40.4184868336,0.0099636662
306,63.5279393196,0.0099636662
307,80,0.0099636662
308,38.8298151493,0.0099636662
309,80,0.0099636662
310,80,0.0099636662
311,70,0.0099636662
312,24.9218668938,0.0099636662
313,80,0.0099636662
314,49.8240641356,0.0099636662
315,38.0059649944,0.0099636662
316,60,0.0099636662
317,66.1982803345,0.0099636662
318,34.5407366753,0.0099636662
319,34.1471287012,0.0099636662
320,51.2494524717,0.0099636662
321,75.0169229507,0.0099636662
322,-3.3634024858,0.0099636662
323,-20.9467409849,0.0099636662
324,34.08152771,0.0099636662
325,19.1669926643,0.0099636662
326,-16.2545351982,0.0099636662
327,-24.6685646772,0.0099636662
328,18.727180481,0.0099636662
329,70,0.0099636662
330,90,0.0099636662
331,37.6095044613,0.0099636662
332,64.1100547314,0.0099636662
333,-2.3200007677,0.0099636662
334,45.5348970294,0.0099636662
335,21.9948387146,0.0099636662
336,25.195772171,0.0099636662
337,35.9206085205,0.0099636662
338,70,0.0099636662
339,63.9479851723,0.0099636662
340,90,0.0099636662
341,90,0.0099636662
342,70,0.0099636662
343,80,0.0099636662
344,51.6126668453,0.0099636662
345,28.0961976051,0.0099636662
346,53.3705134392,0.0099636662
347,90,0.0099636662
348,93.1232354641,0.0099636662
349,100,0.0099636662
350,44.6265001297,0.0099636662
351,45.8824105263,0.0099636662
352,25.0522443056,0.0099636662
353,-20.3434909582,0.0099636662
354,22.7709209919,0.0099636662
355,22.4892868996,0.0099636662
356,55.5917118788,0.0099636662
357,33.3500182629,0.0099636662
358,-16.5893188715,0.0099636662
359,33.2347924709,0.0099636662
360,40.8060675859,0.0099636662
361,60,0.0099636662
362,70,0.0099636662
363,35.8374609947,0.0099636662
364,-0.2003792524,0.0099636662
365,50.9746664762,0.0099636662
366,37.9957454205,0.0099636662
367,-11.9660465717,0.0099636662
368,26.5943074226,0.0099636662
369,80,0.0099636662
370,60,0.0099636662
371,20.3674844503,0.0099636662
372,55.2316719294,0.0099636662
373,20.5311738253,0.0099636662
374,17.8699605465,0.0099636662
375,-23.7565238476,0.0099636662
376,60,0.0099636662
377,33.8243556023,0.0099636662
378,29.4044647217,0.0099636662
379,-39.1732145548,0.0099636662
380,29.4412875175,0.0099636662
381,38.4052917957,0.0099636662
382,63.8820421696,0.0099636662
383,80,0.0099636662
384,80,0.0099636662
385,61.2250366211,0.0099636662
386,80,0.0099636662
387,70,0.0099636662
388,50.4578704834,0.0099636662
389,51.1398646832,0.0099636662
390,55.6574614048,0.0099636662
391,40.6435536146,0.0099636662
392,26.1028319597,0.0099636662
393,70,0.0099636662
394,28.4347586632,0.0099636662
395,60,0.0099636662
396,16.9532413483,0.0099636662
397,-33.7050052881,0.0099636662
398,53.7466471195,0.0099636662
399,25.3373291492,0.0099636662
400,-14.9509699345,0.0099636662
401,-21.845605135,0.0099636662
402,-12.2704176903,0.0099636662
403,-17.380379796,0.0099636662
404,40.7010273933,0.0099636662
405,51.0772906542,0.0099636662
406,55.4434367418,0.0099636662
407,51.2003064156,0.0099636662
408,80,0.0099636662
409,-28.5410221815,0.0099636662
410,55.2215232849,0.0099636662
411,80,0.0099636662
412,45.728998065,0.0099636662
413,-8.8082172871,0.0099636662
414,36.6661860347,0.0099636662
415,25.4937685728,0.0099636662
416,63.9262869358,0.0099636662
417,50.8444126844,0.0099636662
418,65.4447984695,0.0099636662
419,54.761922121,0.0099636662
420,100,0.0099636662
421,24.6690734625,0.0099636662
422,90,0.0099636662
423,80,0.0099636662
424,110,0.0099636662
425,52.844127655,0.0099636662
426,50.7087130547,0.0099636662
427,65.6544687748,0.0099636662
428,43.9352049828,0.0099636662
429,60,0.0099636662
430,60,0.0099636662
431,70,0.0099636662
432,80,0.0099636662
433,80,0.0099636662
434,80,0.0099636662
435,55.4647359848,0.0099636662
436,110,0.0099636662
437,110,0.0099636662
438,110,0.0099636662
439,66.3975143433,0.0099636662
440,95.683891654,0.0099636662
441,69.7720279694,0.0099636662
442,110,0.0099636662
443,110,0.0099636662
444,110,0.0099636662
445,110,0.0099636662
446,110,0.0099636662
447,81.1752126217,0.0099636662
448,90,0.0099636662
449,110,0.0099636662
450,110,0.0099636662
451,110,0.0099636662
452,100,0.0099636662
453,2.0429290533,0.0099636662
454,100,0.0099636662
455,110,0.0099636662
456,70,0.0099636662
457,56.0560055971,0.0099636662
458,50,0.0099636662
459,26.1546102762,0.0099636662
460,70,0.0099636662
461,-23.6254944801,0.0099636662
462,-53.8844509125,0.0099636662
463,80,0.0099636662
464,-20.5170817375,0.0099636662
465,36.3879271746,0.0099636662
466,50.9149250984,0.0099636662
467,50.852563858,0.0099636662
468,-4.7993915081,0.0099636662
